Full_Info,Price_Million,Area_m2,Price_per_m2,Area_log,Distance_To_D1,Population_Density,District_Bình Thạnh,District_Gò Vấp,District_Nhà Bè,District_Quận 1,District_Quận 2,District_Quận 4,District_Quận 6,District_Quận 7,District_Quận 8,District_Quận 9,District_Thủ Đức,District_Tân Bình,District_Tân Phú,District_Unknown,Area_category_medium,Area_category_small
"26 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 83m² | A02199217 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 83 m²",26000.0,-0.026244497841468015,2.7916739566321227,0.24571325833219854,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
"GIẢM GIÁ | 54 tỷ | -4% | Căn hộ The Metropole Thủ Thiêm, diện tích 152m² | A02199218 • Đường R2, An Khánh, Quận 2, | 3 | 2 | 152 m²",54000.0,0.011153609360559426,3.329693406938615,1.7303557990679295,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"82 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Bắc, diện tích 137m² | A02199222 • Đường R2, An Khánh, Quận 2, | 3 | 3 | 137 m²",82000.0,0.0030235860557708515,6.445315806414902,1.4748749614401684,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"77 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Bắc, diện tích 179m² | A02199223 • Đường R2, An Khánh, Quận 2, | 4 | 3 | 179 m²",77000.0,0.025787651309178858,4.288986567022356,2.132747421600309,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"88 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 179m² | A02199224 • Đường R2, An Khánh, Quận 2, | 4 | 3 | 179 m²",88000.0,0.025787651309178858,5.076002348994884,2.132747421600309,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"75 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Bắc, diện tích 236m² | A02199225 • Đường R2, An Khánh, Quận 2, | 4 | 3 | 236 m²",75000.0,0.056681739867375444,2.8498633324215876,2.8138942865700627,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"24.75 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 69m² | A02199226 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 69 m²",24750.0,-0.03383251959260402,3.373652994510828,-0.205709030060077,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
"29.5 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 70m² | A02199227 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 70 m²",29500.0,-0.033290518038951444,4.177066790235353,-0.1705883317692301,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
"35 tỷ | Căn hộ Define 3PN 4WC sân vườn, diện tích 220 m² | A02199228 • Phan Văn Đáng, Thạnh Mỹ Lợi, | 3 | 4 | 220 m²",35000.0,0.04800971500893429,0.817336371750974,2.6408304827078717,0.9724400052447274,-0.13517524411165588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"37 tỷ | Căn hộ Define 3PN 4WC Sân Vườn diện tích 220 m² | A02199229 • Phan Văn Đáng, Thạnh Mỹ Lợi, | 3 | 4 | 220 m²",37000.0,0.04800971500893429,0.9337626733816208,2.6408304827078717,0.9724400052447274,-0.13517524411165588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"40 tỷ | Căn hộ Define 3PN 4WC TẦNG 20 diện tích 220 m² | A02199230 • Phan Văn Đáng, Thạnh Mỹ Lợi, | 3 | 4 | 220 m²",40000.0,0.04800971500893429,1.108402125827591,2.6408304827078717,0.9724400052447274,-0.13517524411165588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"42 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 83.6m² | A02199231 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 83.6 m²",42000.0,-0.025919296909276475,5.213961183329346,0.2633358787413155,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
"6.5 tỷ | Căn hộ Celesta Rise hướng Đông Bắc, diện tích 85 m² | ANB199235 • Nguyễn Hữu Thọ, Phước Kiển, | 2 | 2 | 85 m²",6500.0,-0.02516049473416287,-0.24077325189225707,0.3039740102405572,0.9724400052447274,-0.13517524411165588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
"6.2 tỷ | Căn hộ Celesta Rise 2PN hướng Đông Nam, diện tích 80 m² | ANB199236 • Nguyễn Hữu Thọ, Phước Kiển, | 2 | 2 | 80 m²",6200.0,-0.02787050250242573,-0.22758968538408086,0.1556681454901363,0.9724400052447274,-0.13517524411165588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
"6.1 tỷ | Căn hộ Celesta Rise 2PN NTCB, diện tích 85 m² | ANB199237 • Nguyễn Hữu Thọ, Phước Kiển, | 2 | 2 | 85 m²",6100.0,-0.02516049473416287,-0.3010409845010624,0.3039740102405572,0.9724400052447274,-0.13517524411165588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
"4.2 tỷ | Căn hộ Celesta Rise 1 Phòng Ngủ Đầy Đủ Nội Thất | ANB199238 • Nguyễn Hữu Thọ, Phước Kiển, | 1 | 1 | 48 m²",4200.0,-0.04521455221930802,-0.09952075359036941,-1.0888246760446703,0.9724400052447274,-0.13517524411165588,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
"43 tỷ | Căn hộ Empire City hướng Tây Nam, diện tích 127m² | A02199240 • Mai Chí Thọ, Thủ Thiêm, Quận 2, | 3 | 2 | 127 m²",43000.0,-0.0023964294807548646,3.1160682720568538,1.2886241990350162,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"60 tỷ | Căn hộ Empire City hướng Tây Nam, diện tích 183m² | A02199242 • Mai Chí Thọ, Thủ Thiêm, Quận 2, | 3 | 3 | 183 m²",60000.0,0.027955657523789146,2.978857463500277,2.1871664850496346,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"40 tỷ | Căn hộ Empire City hướng Tây Bắc, diện tích 101m² | A02199243 • Mai Chí Thọ, Thủ Thiêm, Quận 2, | 2 | 2 | 101 m²",40000.0,-0.016488469875721726,3.8519129959359018,0.7264372817844111,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"36 tỷ | Căn hộ Empire City hướng Tây Bắc, diện tích 100m² | A02199244 • Mai Chí Thọ, Thủ Thiêm, Quận 2, | 2 | 2 | 100 m²",36000.0,-0.0170304714293743,3.3903576377882674,0.7020433138717228,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"55 tỷ | Căn hộ Empire City hướng Đông Nam, diện tích 164m² | A02199246 • Mai Chí Thọ, Thủ Thiêm, Quận 2, | 3 | 3 | 164 m²",55000.0,0.017657628004390285,3.0748707570281493,1.9173100613258363,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"9.5 tỷ | Căn hộ Lumiere Riverside, diện tích 49.4m² | A02199247 • Xa Lộ Hà Nội, An Phú, Quận 2, | 1 | 1 | 49.4 m²",9500.0,-0.04445575004419442,1.242740166170645,-1.019074494168508,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
"17.8 tỷ | Căn hộ Lumiere Riverside, diện tích 95.7m² | A02199248 • Xa Lộ Hà Nội, An Phú, Quận 2, | 3 | 2 | 95.7 m²",17800.0,-0.019361078110080355,1.1619314599106467,0.5943211032838229,-0.6557443854688363,-0.13517524411165588,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
